            Australian Bureau of Statistics,,,,,,,,,
"6333.0 Characteristics of Employment, Australia, August 2021",,,,,,,,,
Released at 11:30 am (Canberra time) Tue 14 Dec 2021,,,,,,,,,
"Table 1a.1 Median weekly earnings for employees by sex, state and full-time or part-time, 2004-2021",,,,,,,,,
,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory ,Australia
,$,$,$,$,$,$,$,$,$
                                                                                                                                                                   PERSONS                                                                                                                                                                       ,,,,,,,,,
Full-time in main job,,,,,,,,,
2015," 1,346.0 "," 1,250.0 "," 1,251.7 "," 1,208.5 "," 1,500.0 "," 1,124.3 "," 1,400.0 "," 1,577.1 "," 1,300.0 "
2016," 1,340.5 "," 1,300.0 "," 1,264.6 "," 1,250.0 "," 1,500.0 "," 1,200.0 "," 1,500.0 "," 1,538.0 "," 1,333.0 "
2017," 1,357.7 "," 1,327.0 "," 1,350.0 "," 1,229.0 "," 1,515.8 "," 1,200.0 "," 1,500.0 "," 1,600.0 "," 1,367.8 "
2018," 1,438.0 "," 1,400.0 "," 1,400.0 "," 1,274.9 "," 1,606.7 "," 1,250.0 "," 1,500.0 "," 1,600.0 "," 1,431.0 "
2019," 1,495.0 "," 1,421.0 "," 1,423.3 "," 1,342.0 "," 1,663.4 "," 1,310.0 "," 1,500.0 "," 1,659.3 "," 1,476.0 "
2020," 1,500.0 "," 1,500.0 "," 1,400.0 "," 1,345.4 "," 1,800.0 "," 1,342.0 "," 1,541.7 "," 1,750.0 "," 1,500.0 "
2021," 1,570.5 "," 1,500.0 "," 1,500.0 "," 1,439.6 "," 1,764.0 "," 1,300.0 "," 1,630.0 "," 1,846.4 "," 1,541.4 "
Part-time in main job,,,,,,,,,
2004, 260.0 , 210.8 , 225.0 , 220.0 , 216.0 , 250.0 , 233.9 , 254.1 , 240.0 
2005, 288.0 , 222.8 , 244.0 , 220.0 , 231.2 , 280.0 , 270.0 , 250.0 , 250.0 
2006, 281.3 , 300.0 , 270.2 , 256.0 , 231.3 , 238.4 , 250.0 , 293.2 , 274.0 
2007, 320.0 , 275.6 , 254.3 , 271.4 , 300.0 , 225.9 , 332.5 , 343.6 , 299.0 
2008, 320.0 , 250.0 , 280.0 , 251.1 , 277.5 , 241.8 , 349.3 , 223.4 , 284.5 
2009, 320.0 , 263.2 , 332.4 , 299.5 , 300.0 , 439.8 , 350.0 , 318.0 , 300.0 
2010, 315.8 , 300.0 , 350.0 , 329.7 , 300.0 , 300.0 , 481.0 , 364.6 , 320.0 
2011, 376.7 , 304.5 , 343.8 , 359.7 , 300.0 , 366.4 , 450.0 , 378.8 , 350.0 
2012, 350.0 , 375.0 , 365.5 , 367.3 , 375.0 , 322.5 , 387.6 , 401.9 , 360.0 
2013, 350.0 , 375.0 , 381.2 , 313.0 , 375.0 , 381.5 , 359.8 , 450.0 , 360.6 
2014, 400.0 , 356.0 , 400.0 , 450.0 , 414.0 , 413.0 , 494.6 , 356.5 , 400.0 
2015, 400.0 , 415.4 , 400.0 , 470.4 , 388.7 , 399.4 , 462.2 , 386.4 , 400.0 
2016, 449.0 , 400.0 , 400.0 , 420.5 , 390.3 , 457.9 , 471.7 , 450.0 , 416.0 
2017, 450.0 , 400.0 , 450.0 , 460.0 , 400.0 , 429.0 , 388.6 , 419.3 , 431.5 
2018, 480.0 , 450.0 , 463.1 , 500.0 , 500.0 , 450.0 , 500.0 , 420.0 , 464.7 
2019, 500.0 , 480.2 , 500.0 , 437.6 , 500.0 , 487.7 , 598.5 , 455.9 , 500.0 
2020, 550.0 , 564.8 , 583.6 , 582.3 , 540.3 , 602.9 , 504.6 , 600.0 , 550.0 
2021, 533.9 , 498.5 , 544.7 , 538.1 , 500.0 , 504.4 , 543.9 , 608.7 , 520.0 
Total,,,,,,,,,
2004, 800.0 , 763.0 , 750.0 , 700.0 , 786.0 , 700.0 , 860.0 , 923.0 , 769.0 
2005, 850.0 , 800.0 , 789.9 , 780.0 , 850.0 , 700.0 , 850.0 , 923.0 , 800.0 
2006, 900.0 , 851.1 , 845.0 , 800.0 , 912.5 , 757.0 , 900.0 ," 1,042.3 ", 873.0 
2007, 900.0 , 900.0 , 900.0 , 840.0 ," 1,000.0 ", 800.0 ," 1,002.1 "," 1,154.0 ", 900.0 
