            Australian Bureau of Statistics,,,,,,,,,
"6333.0 Characteristics of Employment, Australia, August 2021",,,,,,,,,
Released at 11:30 am (Canberra time) Tue 14 Dec 2021,,,,,,,,,
"Table 1a.3 Employees by sex, state and full-time or part-time status, 2004-2021",,,,,,,,,
,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory ,Australia
,'000,'000,'000,'000,'000,'000,'000,'000,'000
                                                                                                                                                                   PERSONS                                                                                                                                                                       ,,,,,,,,,
Full-time in main job,,,,,,,,,
2015, 833.9 , 584.7 , 519.1 , 157.2 , 272.5 , 44.4 , 41.1 , 61.0 ," 2,513.9 "
2016, 846.6 , 646.6 , 536.3 , 158.5 , 250.5 , 43.8 , 37.7 , 65.6 ," 2,585.4 "
2017, 909.7 , 678.5 , 524.6 , 157.7 , 265.7 , 44.4 , 38.6 , 61.8 ," 2,681.0 "
2018, 923.7 , 685.6 , 558.4 , 165.5 , 280.3 , 46.6 , 38.9 , 61.2 ," 2,760.4 "
2019, 950.1 , 738.6 , 571.7 , 169.7 , 268.0 , 47.0 , 37.3 , 65.3 ," 2,847.7 "
2020, 948.7 , 721.0 , 556.1 , 173.0 , 266.7 , 44.1 , 36.1 , 71.1 ," 2,816.8 "
2021, 973.6 , 749.1 , 583.0 , 175.9 , 284.3 , 48.4 , 34.8 , 72.1 ," 2,921.1 "
Part-time in main job,,,,,,,,,
2004, 517.0 , 422.3 , 309.1 , 138.1 , 170.0 , 40.4 , 9.8 , 29.9 ," 1,636.6 "
2005, 551.6 , 427.9 , 329.5 , 143.0 , 178.6 , 45.4 , 9.3 , 30.7 ," 1,716.0 "
2006, 544.1 , 448.8 , 349.7 , 150.0 , 188.8 , 44.9 , 8.9 , 30.2 ," 1,765.4 "
2007, 569.5 , 460.7 , 349.1 , 154.7 , 203.2 , 46.7 , 10.8 , 29.7 ," 1,824.3 "
2008, 565.9 , 496.0 , 364.9 , 148.2 , 196.8 , 46.6 , 12.2 , 33.0 ," 1,863.6 "
2009, 610.8 , 491.6 , 372.8 , 166.5 , 203.4 , 48.2 , 13.0 , 30.4 ," 1,936.5 "
2010, 574.7 , 511.8 , 403.2 , 160.9 , 219.7 , 51.9 , 12.7 , 34.0 ," 1,968.9 "
2011, 635.7 , 527.2 , 407.6 , 166.5 , 226.5 , 52.7 , 13.2 , 33.5 ," 2,062.8 "
2012, 632.5 , 541.7 , 391.3 , 172.2 , 223.5 , 52.3 , 13.5 , 33.4 ," 2,060.4 "
2013, 662.5 , 577.4 , 421.2 , 165.2 , 225.9 , 50.7 , 14.9 , 35.0 ," 2,152.9 "
2014, 678.0 , 550.4 , 431.7 , 168.4 , 239.2 , 53.6 , 13.2 , 32.7 ," 2,167.2 "
2015, 677.5 , 604.8 , 438.1 , 169.1 , 238.1 , 54.3 , 14.3 , 35.8 ," 2,232.0 "
2016, 695.6 , 608.8 , 425.0 , 176.0 , 257.3 , 52.9 , 14.4 , 35.4 ," 2,265.4 "
2017, 672.6 , 624.6 , 484.3 , 179.6 , 252.0 , 59.2 , 16.0 , 40.6 ," 2,328.7 "
2018, 736.4 , 647.6 , 465.4 , 183.1 , 260.9 , 58.9 , 14.3 , 40.1 ," 2,406.7 "
2019, 730.6 , 674.0 , 482.9 , 188.9 , 271.9 , 60.1 , 15.7 , 39.2 ," 2,463.3 "
2020, 718.3 , 613.9 , 497.2 , 177.8 , 275.9 , 62.1 , 16.4 , 40.0 ," 2,401.5 "
2021, 633.3 , 672.5 , 493.7 , 193.3 , 311.7 , 59.7 , 15.7 , 35.1 ," 2,414.9 "
Total,,,,,,,,,
2004," 1,201.9 ", 919.6 , 688.9 , 271.5 , 346.1 , 80.2 , 36.6 , 79.3 ," 3,624.0 "
2005," 1,232.9 ", 943.2 , 730.4 , 289.7 , 372.9 , 88.7 , 34.5 , 82.6 ," 3,774.8 "
2006," 1,257.3 ", 979.2 , 781.5 , 300.1 , 394.5 , 89.1 , 35.1 , 86.7 ," 3,923.4 "
2007," 1,291.0 "," 1,009.4 ", 798.7 , 308.6 , 421.1 , 88.2 , 34.6 , 85.5 ," 4,037.0 "
2008," 1,311.5 "," 1,041.9 ", 832.0 , 302.2 , 436.7 , 92.8 , 40.7 , 90.5 ," 4,148.2 "
2009," 1,359.3 "," 1,046.5 ", 861.8 , 320.0 , 439.2 , 95.0 , 44.9 , 88.7 ," 4,255.3 "
2010," 1,324.8 "," 1,090.4 ", 885.3 , 320.3 , 462.8 , 96.9 , 46.5 , 91.9 ," 4,319.0 "
2011," 1,387.5 "," 1,116.2 ", 898.5 , 321.6 , 478.3 , 98.4 , 46.2 , 93.2 ," 4,439.8 "
2012," 1,422.1 "," 1,140.9 ", 892.3 , 329.3 , 498.0 , 95.0 , 51.6 , 96.7 ," 4,525.9 "
2013," 1,450.3 "," 1,161.3 ", 933.3 , 321.1 , 500.5 , 95.1 , 53.8 , 95.5 ," 4,611.0 "
2014," 1,473.7 "," 1,159.6 ", 948.3 , 326.5 , 506.0 , 97.5 , 51.2 , 94.4 ," 4,657.1 "
2015," 1,511.5 "," 1,189.5 ", 957.1 , 326.3 , 510.6 , 98.7 , 55.4 , 96.8 ," 4,746.0 "
2016," 1,542.2 "," 1,255.3 ", 961.3 , 334.5 , 507.8 , 96.6 , 52.1 , 101.0 ," 4,850.8 "
2017," 1,582.2 "," 1,303.1 "," 1,008.9 ", 337.3 , 517.7 , 103.6 , 54.5 , 102.4 ," 5,009.7 "
2018," 1,660.1 "," 1,333.2 "," 1,023.8 ", 348.6 , 541.3 , 105.5 , 53.3 , 101.3 ," 5,167.1 "
2019," 1,680.7 "," 1,412.6 "," 1,054.6 ", 358.6 , 539.9 , 107.1 , 53.0 , 104.5 ," 5,311.0 "
2020," 1,667.0 "," 1,334.9 "," 1,053.3 ", 350.8 , 542.6 , 106.2 , 52.5 , 111.0 ," 5,218.3 "
2021," 1,606.9 "," 1,421.6 "," 1,076.7 ", 369.1 , 596.0 , 108.1 , 50.5 , 107.2 ," 5,336.0 "
,,,,,,,,,
,,,,,,,,,
© Commonwealth of Australia 2021,,,,,,,,,
,,,,,,,,,
